epoch,lr,train_loss,val_loss,val_miou,val_pixel_acc
1,0.0001,nan,nan,0.0,0.0
2,9.972609476841367e-05,nan,nan,0.0,0.0
1,0.0001,nan,nan,0.0,0.0
1,0.0001,nan,nan,0.0,0.0
2,5e-05,nan,nan,0.0,0.0
1,0.0001,nan,nan,0.0,0.0
2,5e-05,nan,nan,0.0,0.0
1,0.0001,nan,nan,0.0,0.0
2,5e-05,nan,nan,0.0,0.0
1,0.0001,0.8948805166684947,0.5616352228148126,0.38683223724365234,0.8149791359901428
2,5e-05,0.585094668952023,0.49576689147798797,0.4439355731010437,0.8289438486099243
1,0.0001,0.8891530394011519,0.5753966518193013,0.3923206925392151,0.8135893940925598
2,9.890738003669029e-05,0.5890698282658553,0.48800769918348513,0.44592276215553284,0.8289455771446228
3,9.567727288213005e-05,0.5268018369455966,0.461455742549445,0.45501285791397095,0.833307683467865
4,9.045084971874738e-05,0.48461800778195974,0.4389632020368937,0.4815828204154968,0.8386654257774353
5,8.345653031794292e-05,0.4652771306555478,0.42922999148113117,0.4960169792175293,0.8428468108177185
6,7.500000000000001e-05,0.44429271031661527,0.4240698142194598,0.49981483817100525,0.8435030579566956
7,6.545084971874738e-05,0.429001751796705,0.4125487953424454,0.5099593997001648,0.8479653000831604
8,5.522642316338269e-05,0.4181481291245179,0.40007745599145017,0.5202593803405762,0.850465714931488
9,4.4773576836617344e-05,0.4071478550570185,0.3936223377611735,0.5223789215087891,0.8519138097763062
10,3.454915028125264e-05,0.40012249727250815,0.38975041691061074,0.5285927057266235,0.8544436693191528
11,2.5000000000000018e-05,0.3920524525312649,0.38189040314793965,0.531754732131958,0.8560136556625366
12,1.654346968205711e-05,0.38931094182013465,0.3823593521860872,0.5324147343635559,0.8549438714981079
13,9.549150281252635e-06,0.38546388868649467,0.3793480642351442,0.5381713509559631,0.8567589521408081
14,4.322727117869952e-06,0.3818492729227249,0.3773556899878693,0.5391930341720581,0.8573585152626038
15,1.092619963309716e-06,0.3836261753399833,0.3785617456768495,0.5399596095085144,0.8565058708190918
